Antecedent,Knowledge_Gap,Support,Confidence,Lift,Support_%,Confidence_%,Frequency,Antecedent_Size
Presales Category=Solution Architecture + Question Complexity=High,Public Documentation,0.052222222222222225,0.1709090909090909,1.053549190535492,5.222222222222222,17.09090909090909,47,2
Presales Category=Solution Architecture + Question Intent=Understand capability / terminology,Public Documentation | Architecture Blueprint | Methodology | SME,0.05333333333333334,0.48000000000000004,1.051094890510949,5.333333333333334,48.00000000000001,48,2
Question Intent=Request presales guidance,Public Documentation | Governance Framework | Risk Register | SME,0.08333333333333333,0.20604395604395603,0.9759976865240023,8.333333333333332,20.604395604395602,75,1
"Business Capability=Risk, compliance and identity control + Question Complexity=High",Public Documentation | Commercial Model | Pricing Template | SME,0.06777777777777778,0.16266666666666668,0.9568627450980393,6.777777777777779,16.26666666666667,61,2
"Business Capability=Risk, compliance and identity control",Public Documentation | Commercial Model | Pricing Template | SME,0.06777777777777778,0.16266666666666668,0.9568627450980393,6.777777777777779,16.26666666666667,61,1
Question Complexity=High,Public Documentation | Commercial Model | Pricing Template | SME,0.12333333333333334,0.1608695652173913,0.9462915601023016,12.333333333333334,16.08695652173913,111,1
Question Complexity=High,Public Documentation | Architecture Blueprint | Methodology | SME,0.33,0.43043478260869567,0.9425579181212314,33.0,43.04347826086957,297,1
"Business Capability=Risk, compliance and identity control + Question Complexity=High + Question Intent=Request presales guidance",Public Documentation | Architecture Blueprint | Methodology | SME,0.07,0.4228187919463087,0.9258805663057855,7.000000000000001,42.281879194630875,63,3
"Business Capability=Risk, compliance and identity control + Question Intent=Request presales guidance",Public Documentation | Architecture Blueprint | Methodology | SME,0.07,0.4228187919463087,0.9258805663057855,7.000000000000001,42.281879194630875,63,2
Question Intent=Request presales guidance,Public Documentation,0.06,0.14835164835164835,0.9144964624416679,6.0,14.835164835164836,54,1
"Business Capability=Risk, compliance and identity control + Question Complexity=High",Public Documentation | Architecture Blueprint | Methodology | SME,0.1711111111111111,0.4106666666666666,0.8992700729927007,17.11111111111111,41.06666666666666,154,2
"Business Capability=Risk, compliance and identity control",Public Documentation | Architecture Blueprint | Methodology | SME,0.1711111111111111,0.4106666666666666,0.8992700729927007,17.11111111111111,41.06666666666666,154,1
Question Complexity=High,Public Documentation,0.1111111111111111,0.14492753623188404,0.8933889219773674,11.11111111111111,14.492753623188403,100,1
"Business Capability=Risk, compliance and identity control + Question Complexity=High",Public Documentation,0.056666666666666664,0.13599999999999998,0.8383561643835615,5.666666666666666,13.599999999999998,51,2
"Business Capability=Risk, compliance and identity control",Public Documentation,0.056666666666666664,0.13599999999999998,0.8383561643835615,5.666666666666666,13.599999999999998,51,1
Presales Category=Solution Architecture,Public Documentation | Commercial Model | Pricing Template | SME,0.06333333333333334,0.13801452784503632,0.8118501637943312,6.333333333333334,13.801452784503631,57,1
Question Intent=Understand capability / terminology,Public Documentation | Architecture Blueprint | Methodology | SME,0.057777777777777775,0.2810810810810811,0.615506016965871,5.777777777777778,28.10810810810811,52,1
